City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Maximum Temperature,Wind Speed (mph)
0,Saint-André-les-Vergers,0,FR,1621891032,76,48.2853,4.0521,48.24,16.11
1,Hasaki,22,JP,1621890549,81,35.7333,140.8333,63.0,7.38
2,Saint-Philippe,85,RE,1621890352,78,-21.3585,55.7679,71.19,13.71
3,Khatanga,100,RU,1621891032,99,71.9667,102.5,31.51,2.35
4,Mataura,6,NZ,1621890531,93,-46.1927,168.8643,32.25,3.04
5,Puerto Ayora,56,EC,1621890539,87,-0.7393,-90.3518,82.36,8.01
6,Saravan,100,AM,1621891033,73,39.7196,45.6483,59.65,6.62
7,Punta Arenas,40,CL,1621891033,71,-53.15,-70.9167,35.71,24.25
8,Priiskovyy,70,RU,1621891033,75,51.9333,116.6333,36.14,4.27
9,Sabang,95,ID,1621891034,77,5.8933,95.3214,83.91,17.85
10,Leningradskiy,100,RU,1621891034,88,69.3833,178.4167,32.7,10.16
11,Albany,33,US,1621890532,38,42.6001,-73.9662,75.51,3.38
12,Coquimbo,0,CL,1621891034,61,-29.9533,-71.3436,58.73,5.37
13,Takaka,1,NZ,1621891035,66,-40.85,172.8,47.37,5.41
14,Goderich,99,CA,1621890917,52,43.7501,-81.7165,78.03,8.05
15,Bambous Virieux,30,MU,1621890374,75,-20.3428,57.7575,73.65,15.1
16,Upernavik,71,GL,1621890418,80,72.7868,-56.1549,33.13,7.9
17,Richards Bay,0,ZA,1621891035,77,-28.783,32.0377,65.08,12.3
18,Tuktoyaktuk,9,CA,1621891036,75,69.4541,-133.0374,33.96,6.6
19,Kumul,0,CN,1621890639,18,42.8,93.45,68.76,3.2
20,Gatesville,20,US,1621891036,78,31.4352,-97.7439,80.56,10.36
21,Yumen,100,CN,1621890649,15,40.2833,97.2,59.23,4.97
22,Lebu,82,CL,1621891036,90,-37.6167,-73.65,56.52,6.49
23,Horodnytsya,69,UA,1621891037,75,50.807,27.3168,51.96,2.57
24,Thompson,90,CA,1621890619,93,55.7435,-97.8558,50.16,2.3
25,Bodden Town,20,KY,1621891037,75,19.2833,-81.25,85.98,5.01
26,Jamestown,90,US,1621890501,60,42.097,-79.2353,74.84,5.75
27,Hilo,1,US,1621890507,71,19.7297,-155.09,82.8,17.27
28,Kapaa,40,US,1621891038,70,22.0752,-159.319,83.19,1.99
29,Daram,41,PH,1621891038,86,11.6341,124.7947,78.89,3.74
30,Provideniya,0,RU,1621890571,70,64.3833,-173.3,39.31,22.37
31,Westport,1,US,1621890952,50,41.1415,-73.3579,68.61,1.01
32,Vila Franca do Campo,100,PT,1621891039,72,37.7167,-25.4333,63.01,4.54
33,Qaanaaq,4,GL,1621890516,75,77.484,-69.3632,33.1,6.38
34,Igarka,100,RU,1621891039,92,67.4667,86.5833,28.72,22.55
35,Rikitea,100,PF,1621890507,81,-23.1203,-134.9692,76.77,18.37
36,Ribeira Grande,100,PT,1621890535,73,38.5167,-28.7,62.76,17.83
37,Jever,75,DE,1621890959,95,53.5833,7.9,52.03,6.87
38,Ternate,96,ID,1621891039,78,0.8,127.4,81.64,5.39
39,Buraidah,1,SA,1621890773,22,26.326,43.975,86.45,8.28
40,Rosetta,0,EG,1621891040,81,31.4044,30.4164,69.62,8.1
41,Øksfjord,57,NO,1621891040,76,70.2396,22.3479,37.47,3.31
42,Saint Paul Harbor,1,US,1621890361,71,57.79,-152.4072,51.31,6.91
43,Tawala,60,PH,1621891041,75,9.5542,123.7696,78.76,4.25
44,Busselton,100,AU,1621890519,72,-33.65,115.3333,48.09,5.37
45,Lorengau,100,PG,1621890457,81,-2.0226,147.2712,82.08,13.67
46,Severo-Kuril'sk,99,RU,1621890625,72,50.6789,156.125,40.6,14.12
47,Ushuaia,100,AR,1621890219,85,-54.8,-68.3,29.53,15.66
48,Emba,1,KZ,1621891041,30,48.8264,58.1442,73.8,9.93
49,La Ronge,90,CA,1621890661,93,55.1001,-105.2842,46.62,19.57
50,New Norfolk,100,AU,1621890528,66,-42.7826,147.0587,54.75,3.04
51,Lüderitz,100,NA,1621891042,54,-26.6481,15.1594,67.48,3.78
52,Parabel',94,RU,1621891042,73,58.6978,81.4825,52.05,3.44
53,Port Alfred,100,ZA,1621890523,39,-33.5906,26.891,73.47,13.78
54,Atuona,17,PF,1621890423,75,-9.8,-139.0333,80.28,18.77
55,Port Lincoln,69,AU,1621890630,68,-34.7333,135.8667,57.43,26.6
56,Port Keats,64,AU,1621891043,83,-14.25,129.55,69.94,5.61
57,Silver City,1,US,1621891043,6,32.7701,-108.2803,81.91,8.99
58,Bluff,6,NZ,1621890508,81,-46.6,168.3333,38.41,7.47
59,Nishihara,40,JP,1621891043,86,26.1842,127.7558,76.68,2.1
60,Half Moon Bay,20,US,1621891044,76,37.4636,-122.4286,86.81,16.11
61,Melo,22,UY,1621891044,75,-32.3667,-54.1833,51.87,8.97
62,Nikolskoye,10,RU,1621890551,87,59.7035,30.7861,50.79,4.63
63,Sarkand,0,KZ,1621891044,42,45.41,79.9186,62.76,6.76
64,Kudahuvadhoo,87,MV,1621890629,74,2.6708,72.8944,83.61,19.17
65,Pisco,20,PE,1621890460,77,-13.7,-76.2167,68.05,10.36
66,Lae,100,PG,1621891045,86,-6.7221,146.9847,75.61,3.56
67,Hermanus,50,ZA,1621890506,81,-34.4187,19.2345,59.9,6.06
68,Bredasdorp,100,ZA,1621890554,89,-34.5322,20.0403,56.71,3.78
69,Castro,87,BR,1621890624,68,-24.7911,-50.0119,48.78,2.66
70,Marfino,0,RU,1621891046,67,55.7028,37.3822,58.28,3.83
71,Camacha,75,PT,1621891046,72,33.0833,-16.3333,63.82,11.5
72,Birao,96,CF,1621891046,31,10.2849,22.7882,88.39,4.94
73,Inongo,6,CD,1621890590,86,-1.95,18.2667,72.73,5.55
74,Ketchikan,1,US,1621890957,51,55.3422,-131.6461,57.67,11.5
75,Valle Hermoso,35,MX,1621891047,54,25.6667,-97.8333,87.84,17.25
76,Changping,0,CN,1621891047,28,40.2186,116.2197,58.96,21.99
77,Saint George,1,US,1621891047,16,37.1041,-113.5841,82.8,8.01
78,Bitam,78,GA,1621891047,95,2.076,11.5007,71.02,1.81
79,Ust-Tsilma,100,RU,1621891048,74,65.441,52.1498,39.69,8.48
80,Nakusp,100,CA,1621891048,96,50.2499,-117.8023,56.48,2.98
81,Ishigaki,75,JP,1621891048,100,24.3448,124.1572,78.93,4.61
82,Pochutla,57,MX,1621891049,46,15.7432,-96.4661,91.22,9.06
83,Kununurra,14,AU,1621891049,100,-15.7667,128.7333,64.38,0.0
84,Mar del Plata,1,AR,1621890264,48,-38.0023,-57.5575,62.1,10.0
85,Mahébourg,33,MU,1621890648,75,-20.4081,57.7,73.63,14.81
86,São José da Coroa Grande,87,BR,1621891050,74,-8.8978,-35.1478,77.2,8.3
87,Cape Town,80,ZA,1621890353,84,-33.9258,18.4232,62.1,1.01
88,Newtownards,75,GB,1621891050,89,54.5924,-5.6909,49.26,4.0
89,Los Llanos de Aridane,75,ES,1621891050,74,28.6585,-17.9182,64.15,18.61
90,Olafsvik,80,IS,1621891050,74,64.8945,-23.7142,45.0,7.54
91,Okhotsk,88,RU,1621891051,76,59.3833,143.3,39.07,4.5
92,Isangel,79,VU,1621890547,60,-19.55,169.2667,73.58,11.95
93,Arraial do Cabo,75,BR,1621891051,56,-22.9661,-42.0278,73.36,6.91
94,Naze,85,JP,1621891051,77,28.3667,129.4833,69.8,5.95
95,Los Altos,1,US,1621891045,48,37.3852,-122.1141,86.5,3.0
96,Buala,100,SB,1621890570,79,-8.145,159.5921,80.28,3.58
97,Dikson,35,RU,1621890530,92,73.5069,80.5464,21.16,6.49
98,Pangnirtung,75,CA,1621891052,74,66.1451,-65.7125,24.8,10.36
99,Ganzhou,100,CN,1621891052,94,28.8184,115.4327,69.35,3.0
100,Tornio,100,FI,1621891053,95,65.8481,24.1466,41.02,5.93
101,Merauke,14,ID,1621891053,89,-8.4667,140.3333,75.69,12.33
102,Port Hardy,90,CA,1621890637,87,50.6996,-127.4199,53.78,6.91
103,Kaélé,5,CM,1621891053,13,10.1092,14.4508,92.17,3.47
104,Saint Anthony,1,US,1621891054,42,45.0205,-93.218,86.81,1.99
105,Paracuru,97,BR,1621891054,78,-3.41,-39.0306,82.42,11.65
106,Tasiilaq,100,GL,1621890385,88,65.6145,-37.6368,35.76,34.54
107,Jiuquan,100,CN,1621890789,15,39.7432,98.5174,59.13,4.7
